prompt,completion
sina pini ala e pali tomo pi tomo sona la sina ken ala musi.,"Before you go play, do your homework."
sina kama tan seme?,Why did you come?
pilin mi la jan Ton li pali ala e ni lon tenpo kama.,I suspect that Tom won't do that anytime soon.
I froze at the sight of the snake.,mi lukin e akesi. mi lete.
"sina pali, la o lukin pali pi pona ale sina.",Do your best in anything you do.
tenpo suno la mi kama jo e mani Welo ale.,I make €100 a day.
I know Tom knows that I know.,mi sona e ni: jan Ton li sona e ni: mi sona.
I don't think Tom and Mary live here.,mi pilin e ni: jan Ton en jan Mewi li awen ala lon ni.
jan ali li sona e ni: sina jo e mani mute.,Everyone knows you're rich.
You do not look well.,sina pona lukin ala.
sijelo pi soweli tomo sina li kama pona.,Your cat will survive.
God is mighty.,sewi li wawa.
jan Ton en jan Mewi li toki e ni tawa jan Son: ona li jo ala e jan pona mute lon ma Posuton.,Tom and Mary told John they didn't have many friends in Boston.
Keep off my property.,o tawa ala ma mi.
Why didn't you tell me about this?,sina toki ala e ni tawa mi tan seme?
pilin ike tawa jan li ken pakala e kulupu.,Hate is a cancer on society.
tenpo ni la sina lon sin tomo sina anu seme?,Are you back home now?
The chimpanzee is a friendly and clever animal that can quickly imitate and learn many things.,soweli jan pi kasi suli li pona li ken pali sama jan li ken kama sona e ijo mute lon tenpo lili.
ken la mi jan pona.,Maybe I'm a good person.
I'd like to talk to you.,mi wile toki tawa sina.
mi lon ma Pisi.,I live in Fiji.
mi toki ala lon toki Potuke.,I don't speak Portuguese.
There's somebody in the house.,jan li lon tomo.
jan Tepan li jan Tosi. toki Tosi li toki mama ona. ona li ken kepeken kin pi pona ali e toki Italija e toki Epelanto e toki pona.,"Stephan is German. German is his mother tongue. He knows perfectly other languages, such as Italian, Esperanto and Toki Pona."
I don't think that I should ask Tom to do that for us.,mi pilin ala e ni: mi o toki e wile ni tawa jan Ton: ona o pali e ni tawa mi.
mi jo e jan sama meli tu wan.,I have three sisters.
Oghuz languages are part of the Turkic language family.,toki Oku li toki wan pi toki Tuki.
Tom will soon become a father.,tenpo kama lili li pini la jan Ton li kama mama.
tenpo seme la sina tawa tomo?,What time did you come home?
I don't want you to make the same mistake I did.,mi wile ala e ni: sina pali pakala sama mi.
That sounds great.,lukin la ona li pona mute.
soweli tomo sina li pakala lili e selo mi.,Your cat scratched me.
sina wile e ijo. taso mi jo ala e ona.,I do not have what you are asking for.
tenpo ala la o pana e palisa luka sina lon insa pi poki wawa.,Never plug your finger into the socket.
My name is Mohamed.,nimi mi e nimi Mojame.
sina wile pali e ona lon tenpo ni anu seme?,Do you have to do that now?
The sun's warmth heats my home.,seli suno li seli e tomo mi.
jan mute pi kama sona li tawa tomo sona kepeken noka.,Most students walk to school.
I'll call him on Friday.,mi toki tawa ona kepeken ilo toki lon tenpo suno Kiwen.
The thick fog made it impossible to see the building.,jan li ken ala lukin e tomo tan kon walo.
ona li jo e jan lili luka luka.,She has ten children.
ko li seli mute. tan ni la ona li seli e noka pi mi mute.,The sand was so hot that it burned our feet.
He looked miserable.,tawa lukin la ona li pilin ike.
She found a hair in her soup.,ona li jo e linja lawa lon telo moku ona.
o pana e lipu pi tu wan lon kulupu.,Hand in the three sheets of paper together.
kalama musi li pona tawa ona.,He's an opera lover.
ali li jo e tenpo.,All things in time.
ona li pana e moku tawa kala.,They fed the fish.
You killed the wrong person.,sina moli e jan pi wile ala.
sina toki kepeken tenpo lili.,You talk fast.
It is cold all year here.,sike suno ali la lete li lon ni.
ma Kanata li pana e lipu wawa pi jan tawa tawa jan Ton.,Tom has a Canadian passport.
o lukin! soweli tomo li lon tomo seli!,Look! The cat's in the kitchen!
pali sin pi jan Ton li pona mute tawa ona.,Tom really likes his new job.
Let's do that!,mi o pali e ni.
mi wile mute moku.,I'm quite hungry.
I had to go there alone.,mi wan taso li wile tawa.
He has seven sons.,ona li jo e mije lili luka tu.
jan ali li olin e jan Ton.,Tom is loved by everyone.
insa pi len sina li lon selo.,Your shirt is inside out.
mi pana e selo tawa sina.,I cover you.
I like to swim in salt water.,"mi tawa lon telo pi ko sin walo, la ni li pona tawa mi."
"jan Pima li toki e ni: ""mi wile e mani."" ona li toki e ni kepeken toki pi ike pilin.","I need some money, Dima said, with a tone of embarrassment."
ma tomo Tokijo li ma tomo lawa pi ma Nijon.,Tokyo is the capital of Japan.
He was incarcerated for committing suicide.,ona li lon tomo poki tan ni: ona li moli e ona sama.
sina weka ala weka e jaki?,Have you taken out the garbage?
mi mute li toki ala tawa jan lili.,We've talked with just about everyone.
He gives us money.,ona li pana e mani tawa mi.
ona li wile awen e ale tawa ona sama.,She wants to keep everything for herself.
What are you doing tomorrow?,tenpo suno kama la sina pali e seme?
tomo li ike tawa mi.,I don't like buildings.
mi sona e ni taso.,It's all I know.
jan Ton li tawa ike tawa telo.,Tom fell into the water.
What are you going to do with this camera?,sina pali e seme kepeken ilo sitelen ni?
Laika orbited Earth for seven days.,soweli tomo Laka li tawa lon sike lon poka pi sike ma lon tenpo suno luka tu.
What they did was wrong.,ona mute li pali e ijo ike.
mi kama sona e toki Sopisi.,I am learning Serbian.
She isn't eating.,ona li moku ala.
mi wile kule e len ni.,I'd like to have this fabric dyed.
sina ken ala ken lukin?,Can you see?
mun li tawa sike e ma.,The moon moves around the earth.
Tom was drinking at a bar with Mary at the time the police think that John was murdered.,jan pi awen lawa li pilin e ni: jan li moli e jan San lon tenpo ni: jan Ton li moku e telo nasa lon tomo pi telo nasa lon poka pi jan Mewi.
Tom saw Mary kissing John.,jan Ton li lukin e ni: jan Mewi li uta e jan Son.
Tom doesn't know the difference between good and evil.,jan Ton li sona ala e ante insa pona en ike.
The refrigerator was empty.,ala li lon poki lete.
Bush respects all religions.,jan Pusi li olin e nasin sewi ali.
ona li pona mute tawa jan Mewi.,Mary is a big fan of theirs.
jan Ton li tawa e poki walo.,Tom was carrying a white box.
Don't talk with your mouth full.,"sina moku, la o toki ala."
ni la mi mute taso li ken toki lon toki Kanse.,We're the only ones here who know French.
sina ken pana e suli Lite tu pi telo seli lon insa pi poki ni.,This jar can hold two liters of hot water.
He's my younger brother.,"mije ni li jan sama mi, li lili. mi suli."
I like her sister very much.,mi olin wawa e meli sama pi meli ni.
You're the only friend I have.,mi jo e jan pona wan taso: sina.
lipu ni li pona pali.,The book is easy.
Tom said Mary thought she might need to do that.,jan Ton li toki e ni: jan Mewi li pilin e ni: ken la ona li wile pali e ni.
Is your religion relevant on Mars?,nasin sewi sina li suli lon mun Seli anu seme?
ona li sin ala tawa mi.,It doesn't surprise me.
Read this book.,o lukin e lipu ni.
"soweli o, kama tan ni a!","Here, kitty kitty!"
Tom thanked Mary.,jan Ton li toki e nimi pona tawa jan Mewi.
"Passport, please.",o pana e lipu wawa sina pi jan tawa.
soweli suli moli li pona lili. soweli lili lon li pona mute.,A living dog is better than a dead lion.
jan pali li pana e telo nasa tawa mi.,The waiter brought me my drink.
How would you like to go to a dance?,ni li pona ala pona tawa sina? sina tawa musi.
That's a nice T-shirt.,ni li len pona.
jan ike li kama tan monsi li utala.,The enemy attacked from behind.
mani li mu seme?,What does a cow say?
Boston is more beautiful than what I had imagined.,ma tomo Pasen li pona lukin mute. sitelen insa mi la ona li pona lukin lili.
She likes the teacher.,jan pi pana sona li pona tawa ona.
I want to talk to you.,mi wile toki tawa sina.
My phone rang again.,ilo toki mi li kalama lon tenpo sin.
jan Mewi li wile sitelen.,Mary wanted to write.
How come that happened to us?,nasin seme ni li kama tawa mi mute?
jan Ton li kute.,Tom listened.
mi pakala ala.,I'm not wrong.
She cried bitterly.,ona li pilin ike li pana e telo tan sike lukin.
Who broke the coffee machine?,jan seme li pakala e ilo pi telo pimeja seli?
Everyone's looking at me.,jan ali li lukin e mi.
I don't cook every day.,tenpo suno ali la mi seli ala.
She's due soon.,ona li kama lon tenpo lili.
tenpo kama lili la tenpo alasa li poka lupa mi.,Autumn is almost here.
jan Ton li lukin e jan.,Tom saw somebody.
This video game is very realistic.,musi ni pi ilo sona li sama lon kin.
"Jane can play the violin, not to mention the guitar.",jan Sen li ken kalama e ilo tu pi kalama musi.
This car belongs to him.,tomo tawa ni li ijo ona.
tenpo mute la mi lukin e ona.,I see her frequently.
What do you like?,seme li pona tawa sina?
"tenpo ni la, tomo mute li jo e ilo pi sitelen tawa wan anu tu.","Nowadays, almost every home has one or two televisions."
ona li ma tomo pona.,It's a nice town.
kama pona lon tomo moku ni!,Welcome to our restaurant!
sina jo e mani.,You have money.
"If you have time, let's go shopping.",sina jo e tenpo la o esun poka mi.
Her shoes were white.,len noka ona li walo.
"If anybody is still absent, please send their names to me.","jan li weka kin la, o pana e nimi pi jan weka tawa mi."
mi toki kepeken toki Kanse taso.,I only speak French.
Hurry up.,o pali wawa.
She became a postman.,ona li kama jan pi lipu toki.
mije sama tu li jan pi kalama musi.,Both brothers are musicians.
"ona li sitelen, la luka ona li pali wawa mute.",He writes at a very high speed.
mi pilin ala e ni: jan Ton li pali e ni.,I don't think Tom would do that.
jan Ton li jan pona sina anu seme?,Are you a friend of Tom's?
mi musi e musi pi ilo luka linja lon kama pi tenpo pimeja ni.,I will play tennis this afternoon.
"jan sama luka li poka sama, li pali lon ma.",The five brothers worked together on the farm.
I need to gain weight.,mi wile kama suli.
Tom opened the door and walked inside.,jan Ton li open e lupa tomo. li tawa lon tomo.
mama mije mi li jo e sijelo pona.,My father is healthy.
Nobody wanted to come.,jan ala li wile kama.
tenpo ni la jan Ton li tawa a tomo sona.,Tom has already gone to school.
That language sounds very beautiful.,toki ni li pona mute tawa nena kute mi.
meli sama mi li lili. mi suli. jan mute li sona e ona.,My younger sister is famous.
Communication is good.,toki li pona.
jan Janke li utala e ma Isale.,Yankev is an anti-Zionist.
o open e lipu sina.,Open your books.
We were just being honest.,mi mute li toki taso e lon.
ona li mije mama mi ala.,He's not my father.
jan Ton li pilin e nimi pi tawa lipu ante.,Tom clicked on the link.
ona li pali e ijo lon tenpo ale.,She is always doing something.
I've been told that often enough.,jan li toki mute e ni tawa mi.
soweli pimeja suli li ken tawa sewi pi kasi suli.,A bear can climb a tree.
mi pilin ijo.,I'm thinking about something.
suli wan linja li seme?,How long is a piece of string?
ona li mije ala li meli ala.,They're nonbinary.
jan Ton li weka e ni tan lawa ona anu seme: ona li pana e mani?,Did Tom forget to pay?
Yoke the oxen to the plow.,o wan e soweli wawa tawa ilo ma.
ike mute li awen kama.,One difficulty after another arose.
My brother fell out of the tree but did not break anything.,mije sama mi li kama anpa tan kasi suli. taso sijelo ona li pakala ala.
mi lukin en kute.,I see and hear.
mama mi li wile sona e sina.,My parents would like to meet you.
ma tomo Paki li lon seme?,Where is Paris?
"If you look over there, you can see a defunct water tower.","sina lukin e poka ante ni, la sina ken lukin e tomo palisa telo pakala."
"She knew a lot of songs, too.",ona li sona kin e kalama musi mute.
ona li meli mama mi.,This is my mother.
Don't do this.,o pali ala e ni.
seme li pona tawa sina?,What do you recommend?
jan li kama jo e mani li pana e ona.,It has been sold.
sina pini pali la o pali ala o pilin pona tan kalama musi ni.,This music allows you to relax after work.
nasin seme la mi ken toki e ni tawa sina la sina ken sona e ni?,How can I say this to you so that you understand it?
sina wile e tenpo pi suli mute tan ni anu seme: sina wile pini e pali?,Do you need more time to finish that?
ma tomo lawa pi ma Juke li ma tomo Lanten.,The capital of the United Kingdom is London.
sina toki e nasa mute.,What you said does not make sense.
insa pi ilo tawa mi ale pi sewi telo li jo e kala linja.,My hovercraft is full of eels.
Write something.,o sitelen e ijo!
sina wile ala e ona anu seme?,"You wanted it, didn't you?"
Tom never was very interested.,tenpo ala la ona li musi e jan Ton.
Tom ate quickly.,jan Ton li moku lon tenpo lili.
jan Ani li moku pi pilin nasa.,Annie ate nervously.
ona li pilin e ni: jan moli li ken lon sin.,They believe in a life after death.
ona li pana e mani ale ona tawa ona.,She gave him all of her money.
"mi pali e ni la, mi kama jaki.",I'll get dirty if I do that.
"jan seme li lukin e sina lon ni? - ""jan Ton li lukin e mi lon ni.""",- Who saw you there? - Tom saw me there.
Sing me a love song.,o kalama musi uta e musi olin tawa mi.
pakala.,Damn it.
"mi lukin e ni, la mi pilin akesi.",I was frightened when I saw that.
jan Ton li jo e luka wawa.,Tom has strong hands.
mi pali e seme?,What did I do?
"Tom's favourite pastime was solving differential expressions, while Mary preferred sex.",ijo pi pona mute tawa jan Ton li nanpa ike. taso ijo pi pona mute tawa jan Mewi li unpa.
mi kute e toki sina.,I hear you speaking.
Now try to sleep.,tenpo ni la o kama lape.
ni la soweli tomo sina li lon.,Here is your dog.
Who taught you to dance?,jan seme li pana sona e tawa musi tawa sina?
Have you ever kissed another girl?,sina uta ala uta e meli ante?
How is this machine operated?,nasin seme la jan li kepeken e ilo ni?
A grain of corn is always wrong in front of a chicken.,sinpin pi waso mani la tenpo ale la moku lili jelo li toki lon ala.
mi utala.,I fought.
tomo tawa telo li tawa lon anpa nasin li tawa poka ante ona.,The boat passed under the bridge.
sina jan ala pi mani mute mute anu seme?,"You're not really a millionaire, are you?"
This painting was painted in the 21st century.,jan li pali e sitelen ni lon sike suno ale nanpa mute wan.
The classroom was quiet.,jan ala li toki lon tomo sona.
jan Ton li ken pali e ni.,Tom would do that.
Money is the root of all evil.,ike ali li kama tan mani.
sina lukin e ona anu seme?,"You saw her, didn't you?"
jan ike li pana e sitelen noka lon supa anpa.,The criminal left footprints.
He comes by bus.,ona li kama kepeken tomo tawa kulupu.
ona li wile lape.,He is tired.
jan seme li lon tomo?,Who was at home?
She has never lived in India.,tenpo ala la ona li lon ma Palata.
I know that you will learn a lot.,mi sona e ni: sina kama sona mute.
tenpo pini la jan Pin li awen lon ma Sinkapo.,Bin lived in Singapore.
jan Ton li mije pona mi ala.,Tom is not our man.
mi wile ala e ni: sina pakala e ijo sama mi.,I don't want you to make the same mistake I did.
Doing that is too risky.,"jan li pali e ni, la ken pi ike kama li suli ike."
o sitelen e sike.,Draw a circle.
Why don't you have a boyfriend?,sina jo ala e mije olin tan seme?
nena pi sinpin lawa mi li pilin e kon pi soweli seli.,I smell bacon.
She has a bath every morning.,ona li telo e ona sama lon open ale pi tenpo suno.
How weird!,nasa a!
Is the spoon small?,ilo moku li lili ala lili?
I just did that a few seconds ago.,mi pali e ni lon tenpo pini poka.
ona li kama suli mute.,He got fatter.
mi musi taso.,I'm only joking.
mi pini moku.,I'm done eating.
mi tonsi.,I'm nonbinary.
"I speak English, Esperanto, French and Japanese.","mi toki lon toki Inli, lon toki Epelanto, lon toki Kanse, lon toki Nijon."
waso li kalama musi.,A bird sings.
o awen sona e ni.,Just don't forget this.
Even a child knows that.,jan lili kin li sona e ni.
It's a very clear day.,sewi li laso ali.
My basket is under the table.,poki mi li lon anpa supa.
jan Ton li pilin e ni: ni li lon kin.,Tom actually believed that.
"By taking the knight, the bishop put the opponent's king in check.","jan toki li poki e soweli tawa, la ona li utala e mije lawa pi kulupu utala ante."
Wasting our time is like wasting our lives.,kepeken ike e tenpo pi mi mute li sama kepeken ike e lon pi mi mute.
Please open the bottle.,o open e poki.
ni li suwi mute.,This is very sweet.
mi kama sona e toki Kalike.,I'm learning Scottish Gaelic.
Tom is horrible.,jan Ton li ike mute.
"One morning, when Victor woke from troubled dreams, he found himself transformed in his bed into a big mess of spaghetti.","open pi tenpo suno wan la jan Piketa li pini e lape pi sitelen lape ike, li kama pan linja lon supa lape ona."
Tom taught me a lot of things.,jan Ton li pana e sona mute tawa mi.
All will be well.,ale li pona.
You're out of sugar.,sina awen ala jo e ko suwi.
mi sona ala e ni: jan Ton li ken ala toki kepeken toki Kanse.,I had no idea Tom couldn't speak any French.
Tom is the fattest guy I know.,"sona mi la, jan Ton li suli mute tan moku."
"Ignorance and fear, those are the two pillars of any religion.",weka sona en pilin ike li noka pi nasin sewi ale.
ona li toki mute.,She talks a lot.
jan Amin li pakala e lupa suno.,Armin broke the window.
Tom enjoys reading novels.,lukin pi lipu olin li pona tawa jan Ton.
lipu ona li lon toki Epelanto.,His webpage is in Esperanto.
o tawa kepeken wawa mute a!,Please hurry up!
jan li ken ala mani e soweli wawa.,You can't tame a wolf.
Tom is practical.,jan Ton li sona e ijo kepeken.
I don't know how to say it.,mi sona ala toki e ona.
Why don't you take off your coat?,sina weka ala e len tan seme?
I forgot your phone number.,mi sona ala e nanpa sina pi ilo toki.
sina weka e sike lili lon pini pi linja nimi.,You forgot the period at the end of the sentence.
We named our dog Rex.,mi mute li pana e nimi Leke tawa soweli tomo pi mi mute.
The soldier gave water to me.,jan utala li pana e telo tawa mi.
toki ike ni li lon?,Are these accusations true?
I feel sleepy.,mi pilin e wile lape.
Call me at the office tomorrow morning.,o lukin toki tawa mi lon tomo pali kepeken ilo toki lon open pi tenpo suno kama.
My name is Robin.,nimi mi li Lopin.
Never forget that.,tenpo ala la o weka e ona.
ni li pona tawa mi: mi kute e toki sina.,I like to listen to you when you speak.
"I know bits and pieces of many foreign languages, but am fluent in none.",mi sona lili e toki ante mute. taso mi toki pona ala e ona.
"o, tenpo suno ni li suli tawa mi. mi wile tawa supa lape lon tenpo ni.","Look, I've had a long day and I want to go to bed right now."
mi mute li open lon open ala tan seme?,Why don't we start at the beginning?
mi mute li tan ma tomo Pasen.,We're from Boston.
The basin of a river usually has rich farmland.,"tenpo mute la, anpa pi telo tawa li jo e ma pona."
I could hear her sobbing in her bedroom.,mi kute e kalama ona tan pilin ike lon tomo ona.
sina pakala e sona sina.,You're deceiving yourselves.
Tom was happy about that.,jan Ton li pilin pona tan ni.
Tom says he witnessed the whole thing.,jan Ton li toki e ni: ona li lukin e ni ali.
jan Ton li tan kulupu mama pona.,Tom comes from a good family.
Do you know how to speak Romanian?,sina sona ala sona toki kepeken toki Lomani?
kili li tawa anpa poka kasi.,The apple does not fall far from the trunk.
I'm just setting out!,mi kama tawa lon tenpo ni!
sina pona ala e mi. tan seme?,Why don't you help us?
I'm writing to her.,tenpo ni la mi sitelen tawa meli ni.
jan Ton en jan Mewi en jan San en jan Ali li sona toki lon toki Kanse.,"Tom, Mary, John and Alice can all speak French."
mama sama mi li kama jo e ilo sin pi sitelen tawa tawa mi mute lon esun.,My uncle brought a new TV set for us.
mije ni li jo e lawa wawa.,He is intelligent.
At least two known terrorists are hated by everyone except themselves.,jan li sona e jan utala. jan utala tu ni li lon: ona li ike mute tawa jan ale. ona li ike ala tawa ona sama taso. ken la jan utala mute ni li lon.
sina pali ala e ni la jan li weka e sina.,You'd be fired if you didn't do that.
tenpo nanpa wan la o kama jo e poki lon esun. tenpo nanpa tu la o kama jo e kasi lon esun.,"First, buy a vase, and then the flowers."
What do you people do?,sina mute li pali e seme?
Be gone!,o weka a!
ona li wile e ni: mi toki e ni: ona li olin e meli ante. taso ona li ken ala pali e ni.,"He wants to make me jealous, but he isn't able to."
Sleep is one of the most important human functions.,lape li ijo pi suli mute tawa jan.
Tom likes chocolate.,suwi li pona tawa jan Ton.
You're famous.,jan ali li sona e sina.
Tom is blind.,jan Ton li ken ala lukin.
I'm not going to lose.,mi kama ala anpa.
Tom and Mary got divorced.,jan Ton en jan Mewi li tu.
mi kama sona e toki Anku.,I'm learning Korean.
sina pana e seme tawa jan sama sina lon tenpo Santa ni?,What did you get your sister for Christmas?
ona li olin e soweli.,She is fond of animals.
mi toki e ni tawa jan Ton: mi tawa ma tomo Pasen.,I told Tom I'd go to Boston.
ona li ken ala pini kepeken e kon jaki.,It's impossible for him to give up smoking.
I hid in the woods all day.,tenpo suno ale la mi weka tan lukin. mi lon ma kasi suli.
ma tomo ni li jo e ma kasi anu seme?,Are there any parks in the town?
He likes science fiction.,"toki pi pali musi, pi tenpo kama li pona tawa ona."
mi pilin akesi tan jan sona pi pona uta.,I'm scared of dentists.
Let's go to Tom's office.,mi mute o tawa tomo pali pi jan Ton.
Tom is usually drunk by this time of day.,tenpo ale la jan Ton li kama nasa kepeken telo nasa.
jan lili ali li sitelen e soweli.,The children were all drawing pictures of animals.
sina tan ma seme?,Which country are you from?
sinpin pi tenpo pimeja kama la mi toki tawa sina kepeken ilo toki.,I will call you tomorrow afternoon.
The door won't budge.,lupa tomo li tawa ala.
seme li lon esun?,What's in the shop?
mi sona e ni: mi wile e seme. mi lukin ala taso e ona.,I know what I want. I just haven't found it yet.
This novel is boring.,lipu ni li musi ala.
"You beat them, didn't you?",sina anpa e ona anu seme?
tenpo ala la mi kepeken nimi ni.,That isn't a word I'd ever use.
Do we have to do this every day?,"tenpo suno ali, la mi mute li wile pali e ni anu seme?"
I've got some cookies.,mi jo e suwi pan sike.
sina sama wan pi kulupu mama.,You're like family.
mije li toki ala tawa meli ona lon tenpo suno tu wan.,The man had not spoken to his wife in three days.
"One more beer, please!",o pana e telo nasa sin tawa mi a!
He was snoring loudly while he slept.,ona li lape li kalama mute.
"o, sina lon seme?","Hey, where are you?"
pali ni li kepeken nasin lawa CC BY 4.0.,This work is licensed under a CC BY 4.0 license.
I wish you had told me this earlier.,mi wile e ni: sina toki e ni tawa mi lon tenpo pini.
sina pona tawa jan ali la sina pali ike.,"If everyone likes you, you're doing it wrong."
ko lete li walo.,The snow is white.
ona li pali ala pali?,Is he busy?
There is a rope bridge over the river.,nasin linja li lon sewi pi telo tawa.
It is neither good nor bad.,ona li pona ala li ike ala.
mi pali e ike. mi sama jan open.,I made a rookie mistake.
o pini e seli.,Put out the fire.
She says she has nothing to hide.,ona li toki e ni: ona li len e ijo ala.
pini li pona la ali li pona.,All's well that ends well.
sina ken ala weka e toki jan tan nasin jan.,You can't separate language from culture.
ale li suwi.,Life is sweet.
You were washed.,jan li telo e sina.
Do we have to do this every day?,"tenpo suno ali, la mi mute li wile ala wile pali e ni?"
Would you like to drive an English car?,sina wile lawa e tomo tawa pi ma Inli anu seme?
ma tomo mi li lon ma tomo Jokowama.,I live in Yokohama.
sina pana e sona pi nasa ike tawa mi.,You gave me bad advice.
Does that help?,ni li pona ala pona?
pan pi mute seme li awen?,How many sandwiches are there left?
Extremely loud music interrupted their conversation.,kalama musi pi wawa mute li pini e toki pi ona mute.
Tom won't do you any harm.,jan Ton li pakala ala e sina.
mi ale li kama jo e wan pi mani ni.,We'll divide the profits among all of us.
Somebody tried to kill me.,tenpo pini la jan li wile mute moli e mi.
ona li wawa.,He is powerful.
tomo pi jan Ton li lon ma.,Tom lives in the country.
toki sina li sama mije.,You talk like a man.
ona li pali lon poka pi jan ante pi nasin Musulin.,He was working with other Muslims.
mi pana ala e jaki tawa sina.,I am not poisoning you.
soweli tomo li moku ala moku e sina?,Have you ever been bitten by a dog?
We have little chance of winning.,mi ken lili kama jo e pini pona.
The whole world's going crazy.,jan ale pi ma ale li kama nasa.
sitelen tawa li ike.,It was a bad movie.
tawa mi la pali pi jan Ton li pona.,I thought that Tom did a good job.
When was the potato introduced into Japan?,kili ma li kama lon ma Nijon lon tenpo seme?
nasin sewi li lon tawa jan nasin li lon ala tawa jan sona li pona kepeken tawa jan lawa.,"Religion is regarded by the common people as true, by the wise as false, and by the rulers as useful."
My family is my life.,kulupu mama mi li lon mi.
mi jo e ilo tawa sama ilo tawa sina.,I have a bicycle just like yours.
soweli li wile tawa tan tomo.,The cat wants out.
soweli nena pi mute lili li wile tawa ma Elopa.,Few elephants would volunteer to move to Europe.
She's in Boston.,ona li lon ma tomo Pasen.
Give him the textbook and your dictionary.,o pana e lipu sona e lipu pi nimi mute tawa ona.
sijelo ona li kama suli sin.,She gained weight.
Tom dug a deep hole in the forest.,jan Ton li pali e lupa suli lon ma pi kasi suli.
jan Ton li kama ala kama moli?,Is Tom dying?
Akiko has some friends in France.,jan Akiko li jo e jan pona lon ma Kanse.
ni li sama tawa sina anu seme?,Sound familiar?
Chess piques the interest of children and adults all over the world.,musi pi jan lawa ma li open e wile sona pi jan lili e wile sona pi jan suli lon ma ale.
mi kama jo e pona.,I'm going to get help.
soweli tomo li soweli pi jaki ala mute.,Cats are very clean animals.
Brush your teeth.,o pona e kiwen uta sina kepeken ilo.
sina awen lon poka pi jan lili. pona!,Thanks for taking care of the kids.
mi pali e ni lon tenpo mi ale.,I've done this all my life.
tenpo ni la sina jo e tomo lon seme?,Where do you live at the moment?
Long live Esperanto!,toki Epelanto o awen lon!
Sami bit Layla.,jan Sami li moku e jan Lela.
There is a smile on her face now.,tenpo ni la sinpin lawa ona li toki e pilin pona.
Tom knows how to have a good time.,jan Ton li sona musi.
I exited the store as quickly as I could.,mi tawa weka tan esun kepeken wawa ale mi.
I never read that book.,tenpo pini ala la mi lukin e lipu ni.
Did you sleep all day?,tenpo suno ni ale la sina lape ala lape?
I'm angry and I'm also tired.,mi pilin utala. sin la mi wile lape.
jan Kete li jo e soweli tomo.,Kate keeps a dog.
jan Ton li lukin e pakala.,Tom was a witness to the accident.
nasin seme la jan li kepeken ilo ni?,How is this machine operated?
This city is in the USA.,ma tomo ni li lon ma Mewika.
God created man to suffer.,jan sewi pona li pali e jan li wile e ni: jan li pilin ike.
She put the picture back in his hand.,ona meli li pana sin e sitelen lon luka pi ona mije.
ona li lukin pana e pilin akesi tawa mi anu seme?,"He's trying to scare us, isn't he?"
mi lukin mute.,I read a lot.
How do you know that light travels faster than sound?,suno li tawa kepeken tenpo lili. kalama li tawa kepeken tenpo mute. sina sona e ni kepeken nasin seme?
mi wile sin e telo tawa telo poki mi.,I needed to add water to my aquarium.
This will change your life.,ni li ante e ale sina.
jan Pije li jo e sinpin lawa pi pilin pona lon kalama ala.,Pierre smiled in silence.
We own this property.,mi mute li jo e ma ni.
mi pana e mani ala tawa sina.,I'm not giving you any money.
Please be kind to others.,o pana e pona tawa jan.
jan Ton li kama lukin e sike mani pi tenpo suli lon monsi tomo.,Tom found an old coin just outside the back door.
nasin mama mute li nasa.,Some traditions are stupid.
I can't believe this is happening to me.,mi ken ala pilin wawa e ni: ni li tawa mi.
Tom should get started.,jan Ton li wile open.
I start speaking.,mi open toki.
There's a standard lamp in the corner of the room.,ilo suno pi nasa ala li lon poka pi sinpin tu pi tomo ni.
Are you one of Tom's relatives?,sina tan kulupu mama pi jan Ton anu seme?
I have my book.,lipu sona mi li poka mi.
It's not easy.,ni li pona ala.
I love your shirt.,len sina li pona mute tawa mi.
jan Pete li pana e sona pi tawa musi.,Betty is a dancing teacher.
Press the button.,o pilin e nena.
"ona li pali e ijo sama lon tenpo mute, la ni li pona tawa ona. ona li pali e ijo ante, la ni li ike tawa ona.",He likes routine and worries about changes.
I bought a book yesterday.,tenpo suno pini la mi esun e lipu.
Tom couldn't see anybody.,jan Ton li ken ala lukin e jan.
I like mushrooms.,soko li pona tawa mi.
sina pona.,Thanks.
Do you want to work in the same studio as your girlfriend?,sina wile ala wile e ni: sina en meli sina li pali lon tomo sitelen sama?
sina ken pali e pona.,You could help.
Please get out of the pool.,o tawa tan poki telo musi. pona!
Both my parents are musicians.,mama tu mi li jan kalama musi.
"For some people, ""God"" is themselves.",jan pi mute wan li pilin e ni: sewi li jan ni sama.
"If you understand, then do it properly.",sina sona e ni la sina pali e ni lon pona.
I overcooked the pasta.,mi seli mute e pan.
Tom and Mary only speak French to their children.,jan Ton en jan Mewi li toki tawa jan lili ona kepeken toki Kanse taso.
tomo pi sina mute li lon seme?,Where do all of you live?
ijo ala li pana e pilin akesi tawa ona.,She is not afraid of anything.
ni la mi lukin e meli sama mi.,I saw my sister there.
sina ken pana e pona tawa mi anu seme?,Could you do me one favor?
My mother bakes cakes.,mama mi li pali e pan suwi.
Let me back up here.,o awen e mi lon monsi ni.
The tools are in the container.,ilo li lon poki.
meli tonsi li meli.,Trans women are women.
I thought that everybody could do that.,pilin mi la jan ali li ken pali e ni.
musi pi jan lawa ma la jan Pise li jan musi pi wawa mute. ona li tan ma Mewika. jan ale li sona e ona lon ma ale.,Bobby Fischer is the most famous chess player in the United States.
